Creation Date,Accession Number,Artist,Credit Line,Display Title,Display Dimensions,Medium,Media & Support,Facility ,Current Location,Location Description,Street Address,Street Address 2,District Name,Geocoding Source,Geocoding Accuracy,Geocoding Accuracy Type,Latitude,Longitude,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
"July 26, 2003",2005.11.a,"Rodriguez, Isis",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Parque Ninos Unidos,Los Ninos del Sol,66 x 9 1/2 in.,Glazed ceramic tile,Glazed ceramic tile on cement,Parque Ninos Unidos,Public Display,23Rd St. Entrance,"23rd St and Treat Ave, San Francisco, CA 94110",,District 9,Automation,0.8,intersection,37.754165,-122.413141,POINT (-122.413141 37.754165),53,3,2,20
2010,2010.7,"Roberts, Kent",Collection of the City and County of San Francisco; Commissioned by the San Francsisco Arts Commission for the Moscone Recreation Center,Passage,60 x 696 x 120 in.,Stainless steel and concrete,Stainless steel and concrete,Moscone Recreation Center,Public Display,Edge Of Playing Fields,Laguna and Bay Streets,,District 2,Department Data,,,37.8021249,-122.4331353,POINT (-122.4331353 37.8021249),17,4,6,13
Unknown,1951.2,Anonymous,Collection of the City and County of San Francisco; Gift of the Beethoven Maenercher of New York,Ludwig Van Beethoven (1770-1827),212  x 106  x 106 in.,Bronze,Bronze on granite,Golden Gate Park,Public Display,West Of Cal Academy,Music Concourse Drive,,District 1,Department Data,,,37.7703537,-122.4666711,POINT (-122.4666711 37.7703537),9,8,4,12
2015,2016.11.c.3,"Nagase, Masayuki",Collection of the City and County of San Francisco,Breath Between Sky and Ocean [Paver],33 x 49 x 2 in.,Granite,Granite,San Francisco General Hospital,City Agency,Acute Care Unit Roof Garden,1001 Portrero Avenue,,District 10,Department Data,,,37.755652,-122.4053538,POINT (-122.4053538 37.755652),54,3,9,20
2012,2013.5.a,"Suárez-Wolfe, Primitivo",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Church and Duboce Streetscape Improvement Project,Domestic Seating  (Wooden Chair),46 3/8 x 23 1/2 x 24 in.,Bronze,Bronze,,Public Display,Sw Corner,Duboce at Church St.,,District 8,Department Data,,,37.769469,-122.429497,POINT (-122.429497 37.769469),28,7,5,9
1996,1996.11,"Aycock, Alice",Collection of the City and County of San Francisco; Commissioned by the San Francsisco Arts Commission for the San Francisco Main Library,Functional and Fantasy Stair,,"Stainless steel, aluminum, plaster","Stainless steel, aluminum, plaster",Main Library,Public Display,Periodicals 4Th And 5Th Floors,"100 Larkin St, San Francisco, CA 94102",,District 6,Automation,1,parcel,37.779345,-122.415859,POINT (-122.415859 37.779345),21,5,10,36
1999,1999.16,"Frey, Viola",Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,World Civilization,"180"" H X 240"" W",Ceramic tile,Ceramic tile,International Terminal,SFO,Gate A4,BA/A,,SFO,Department Data,,,37.62207,-122.38366,POINT (-122.38366 37.62207),,,,
1935-1940,1942.10,"Bufano, Beniamino",Collection of the City and County of San Francisco; Completed for the City of San Francisco under the Works Progress Administration,Mouse,34 1/4  x 16 3/4  x 31 1/2 in.,Black granite,Black granite,Valencia Gardens Apartments,Public Display,,390 Valencia St.,,District 8,Department Data,,,37.7666720,-122.4222550,POINT (-122.422255 37.766672),37,3,5,20
1983,1985.10,"Pomodoro, Arnaldo",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,Cilindro Costruito,"192"" H X 18""diameter",cast bronze,cast bronze,Terminal 2,SFO,Arrivals Stairway From Arrivals To Departures,BA/D,,SFO,Department Data,,,37.62207,-122.38366,POINT (-122.38366 37.62207),,,,
2000,2001.6.a-f,"Alavi, Sayed",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Richmond Recreation Center,Speaking Stones,"Pathway, garden, and lobby","Concrete, stone, paint, bronze","Concrete, stone, paint, bronze",Richmond Recreation Center,Public Display,"Landscaping, Sidewalks, Lobby",251 18th Ave.,,District 1,Department Data,,,37.7832700,-122.4779768,POINT (-122.4779768 37.78327),5,8,4,29
1814,1928.2,"Bullock, George",Collection of the City and County of San Francisco; Gift to the Public Library of San Francisco by the people and mayor of Stratford-upon-Avon,William Shakespeare,38 1/2  x 25  x 12 in.,Bronze,Bronze on concrete,Golden Gate Park,Public Display,Shakespeare Garden,Martin Luther King Jr. Dr And Nancy Pelosi Drive,,District 1,Department Data,,,37.7688781,-122.4671799,POINT (-122.4671799 37.7688781),9,8,4,12
